25-06-05 12:25:42.586 [main] INFO  c.v.j.JournalismApplication - Starting JournalismApplication using Java 21.0.6 with PID 11960 (C:\Users\Vividh\OneDrive\Desktop\Projects\journalismApp\journalismApp\target\classes started by Vividh in C:\Users\Vividh\OneDrive\Desktop\Projects\journalismApp\journalismApp) 
25-06-05 12:25:42.591 [main] INFO  c.v.j.JournalismApplication - No active profile set, falling back to 1 default profile: "default" 
25-06-05 12:25:43.452 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
25-06-05 12:25:43.455 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-06-05 12:25:43.615 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 155 ms. Found 3 MongoDB repository interfaces. 
25-06-05 12:25:43.634 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
25-06-05 12:25:43.635 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
25-06-05 12:25:43.649 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.vividhdarote.journalismApp.repository.ConfigJournalAppEntryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-06-05 12:25:43.650 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.vividhdarote.journalismApp.repository.JournalEntryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-06-05 12:25:43.650 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.vividhdarote.journalismApp.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-06-05 12:25:43.651 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces. 
25-06-05 12:25:44.257 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) 
25-06-05 12:25:44.273 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
25-06-05 12:25:44.276 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-06-05 12:25:44.276 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39] 
25-06-05 12:25:44.339 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
25-06-05 12:25:44.340 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1671 ms 
25-06-05 12:25:44.602 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster1"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.6+8-LTS-188"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='darotevishnu', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@4f1afe8f, com.mongodb.Jep395RecordCodecProvider@492521c4, com.mongodb.KotlinCodecProvider@443a06ad]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster1.vbc50oi.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-ncgzqt-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster1', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null} 
25-06-05 12:25:44.615 [cluster-ClusterId{value='68413f70fc3e1a5d5ac549c6', description='Cluster1'}-srv-cluster1.vbc50oi.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017 to client view of cluster 
25-06-05 12:25:44.640 [cluster-ClusterId{value='68413f70fc3e1a5d5ac549c6', description='Cluster1'}-srv-cluster1.vbc50oi.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017 to client view of cluster 
25-06-05 12:25:44.643 [cluster-ClusterId{value='68413f70fc3e1a5d5ac549c6', description='Cluster1'}-srv-cluster1.vbc50oi.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017 to client view of cluster 
25-06-05 12:25:45.121 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 7. Remaining time: 30000 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]. 
25-06-05 12:25:45.332 [cluster-ClusterId{value='68413f70fc3e1a5d5ac549c6', description='Cluster1'}-ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=420227700, setName='atlas-ncgzqt-shard-0', canonicalAddress=ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017, hosts=[ac-gl7tjlc-shard-00-00.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-01.vbc50oi.mongodb.net:27017, ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gl7tjlc-shard-00-02.vbc50oi.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000c6, setVersion=220, topologyVersion=TopologyVersion{processId=683e261e932cbeee5c5135fa, counter=7}, lastWriteDate=Thu Jun 05 12:25:46 IST 2025, lastUpdateTimeNanos=4196135825800} 
